Month,Year,Bays,Efficiency,Tech Count,Detail Workers,Detail Efficiency,Service Revenue,Parts Revenue,Shop Charge,Warranty Revenue,Oil Disposal,Disposal Fees,Battery Disposal,Used Car Sales,Detail Revenue,Total Revenue,Tech Salaries,Detail Salaries,Advisor Salary,Manager Salary,Total Payroll,Parts Cost,Workers Comp,Social Security,Medicare,FUTA,Total Payroll Taxes,Advertising,Shop Key,AAA Signup,Fuel Card,Utilities,Rent,Waste Oil Filters,Waste Coolant Disposal,Oil Costs,Detail Supplies,Shop Supplies,Surety Bond,Liability,Payment Processing,Detail Commission,Total Expenses,Net Income
8,2,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,15920,25200,277190,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,6930,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6404,6856,139338,137852
9,2,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,16716,25200,277986,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,6950,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6423,6856,139376,138610
10,2,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,17552,25200,278822,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,6971,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6442,6856,139416,139405
11,2,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,18429,25200,279699,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,6992,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6462,6856,139458,140241
12,2,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,19351,25200,280621,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,7016,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6483,6856,139502,141118
1,3,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,20318,25200,281588,25250,7560,5833,8333,46977,44100,324,2913,681,274,4192,7040,300,33,400,1200,5000,300,300,15000,500,1500,20,200,6505,6856,140422,141166
2,3,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,21334,25200,282604,25250,7560,5833,8333,46977,44100,324,2913,681,153,4071,7065,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6528,6856,139750,142854
3,3,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,22401,25200,283671,25250,7560,5833,8333,46977,44100,324,2913,681,35,3953,7092,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6553,6856,139684,143987
4,3,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,23521,25200,284791,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,7120,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6578,6856,139702,145089
5,3,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,24697,25200,285967,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,7149,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6605,6856,139758,146208
6,3,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,25932,25200,287202,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,7180,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6634,6856,139818,147384
7,3,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,27228,25200,288498,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,7212,300,33,400,1200,5000,300,300,15000,500,1500,20,200,6663,6856,140480,148019
8,3,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,28590,25200,289860,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,7246,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6694,6856,139945,149915
9,3,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,30019,25200,291289,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,7282,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6727,6856,140013,151276
10,3,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,31520,25200,292790,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,7320,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6762,6856,140085,152705
11,3,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,33096,25200,294366,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,7359,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6798,6856,140161,154205
12,3,6,100.0,6,3,100.0,126000,88200,8820,6000,900,1200,4950,34751,25200,296021,25250,7560,5833,8333,46977,44100,324,2913,681,0,3918,7401,300,33,400,1200,5000,0,0,15000,500,1500,20,200,6836,6856,140240,155781
